Having run the script on the test database, let's see how it does with PRV's observations....

mysql> SELECT name, band, JD, unique_id, timeseries FROM temp_observations WHERE obscode="PRV" ORDER BY name, band, JD;
+-----------------------+------+---------------+------------+------------+
| name                  | band | JD            | unique_id  | timeseries |
| BF CYG                | 2    | 2456806.89316 | 1264665935 |       NULL |
| BF CYG                | 2    | 2456813.89480 | 1264697775 |       NULL |
| BF CYG                | 2    | 2456823.86981 | 1264729387 |       NULL |
| BF CYG                | 2    | 2456830.87984 | 1264765709 |       NULL |
| BF CYG                | 2    | 2456835.87322 | 1264812984 |       NULL |
| BF CYG                | 2    | 2456890.73462 | 1265055376 |       NULL |
| BF CYG                | 2    | 2456894.69339 | 1265095549 |       NULL |
| BF CYG                | 2    | 2456901.68387 | 1265129274 |       NULL |
| BF CYG                | 2    | 2456944.58626 | 1265487037 |       NULL |
| BF CYG                | 2    | 2456954.58559 | 1265571216 |       NULL |
| BF CYG                | 2    | 2457122.96748 | 1267543374 |       NULL |
| BF CYG                | 2    | 2457123.96794 | 1267595136 |       NULL |
| BF CYG                | 2    | 2457127.96191 | 1267595106 |       NULL |
| BF CYG                | 2    | 2457129.95942 | 1267595103 |       NULL |
| BF CYG                | 2    | 2457130.96235 | 1267603020 |       NULL |
| BF CYG                | 2    | 2457132.96231 | 1267610611 |       NULL |
| BF CYG                | 2    | 2457133.96079 | 1267613505 |       NULL |
| BF CYG                | 2    | 2457134.95418 | 1267629306 |       NULL |
| BF CYG                | 2    | 2457135.95714 | 1267629292 |       NULL |
| BF CYG                | 2    | 2457137.95311 | 1267634495 |       NULL |
| BF CYG                | 2    | 2457141.95125 | 1267656598 |       NULL |
| BF CYG                | 2    | 2457142.94603 | 1267656586 |       NULL |
| BF CYG                | 2    | 2457143.94832 | 1267660500 |       NULL |
| BF CYG                | 2    | 2457144.95076 | 1267673572 |       NULL |
| BF CYG                | 2    | 2457150.93845 | 1267700580 |       NULL |
| BF CYG                | 2    | 2457151.93698 | 1267710952 |       NULL |
| BF CYG                | 2    | 2457153.93267 | 1267750122 |       NULL |
| BF CYG                | 2    | 2457160.92994 | 1267750104 |       NULL |
| BF CYG                | 2    | 2457162.89521 | 1267764637 |       NULL |
| BF CYG                | 2    | 2457167.93139 | 1268000288 |       NULL |
| BF CYG                | 2    | 2457169.92505 | 1268000279 |       NULL |
| BF CYG                | 2    | 2457170.92738 | 1268000270 |       NULL |
| BF CYG                | 2    | 2457171.92738 | 1268000260 |       NULL |
| BF CYG                | 2    | 2457176.92329 | 1268101621 |       NULL |
| BF CYG                | 2    | 2457177.92668 | 1268101609 |       NULL |
| BF CYG                | 2    | 2457185.91612 | 1268104296 |       NULL |
| BF CYG                | 2    | 2457186.92094 | 1268104287 |       NULL |
| BF CYG                | 2    | 2457187.91691 | 1268104275 |       NULL |
| BF CYG                | 2    | 2457190.91521 | 1268104266 |       NULL |
| BF CYG                | 2    | 2457194.94707 | 1268104218 |       NULL |
| BF CYG                | 2    | 2457204.90493 | 1268104155 |       NULL |
| BF CYG                | 2    | 2457205.90712 | 1268104163 |       NULL |
| BF CYG                | 2    | 2457221.88453 | 1268104186 |       NULL |
| BP CRA                | 2    | 2456841.09532 | 1264812981 |       NULL |
| BP CRA                | 2    | 2456847.13421 | 1264836747 |       NULL |
| BP CRA                | 2    | 2456849.13359 | 1264847048 |       NULL |
| BP CRA                | 2    | 2456852.13381 | 1264860971 |       NULL |
| BU CYG                | 2    | 2456793.81374 | 1264623701 |       NULL |
| BU CYG                | 2    | 2456806.90688 | 1264665922 |       NULL |
| BU CYG                | 2    | 2456813.88855 | 1264697770 |       NULL |
| BU CYG                | 2    | 2456835.92488 | 1264812996 |       NULL |
| BU CYG                | 2    | 2456848.82861 | 1264844400 |       NULL |
| BU CYG                | 2    | 2456862.90579 | 1264951223 |       NULL |
| BU CYG                | 2    | 2456887.77308 | 1265042268 |       NULL |
| BU CYG                | 2    | 2456894.77756 | 1265095560 |       NULL |
| BU CYG                | 2    | 2456932.77410 | 1265439505 |       NULL |
| BX PUP                | 2    | 2456947.17351 | 1265487020 |       NULL |
| BX PUP                | 2    | 2456949.17225 | 1265487015 |       NULL |
| BX PUP                | 2    | 2456953.19231 | 1265507176 |       NULL |
| BX PUP                | 2    | 2456955.18331 | 1265571207 |       NULL |
| BX PUP                | 2    | 2456961.19309 | 1265578482 |       NULL |
| BX PUP                | 2    | 2456963.19326 | 1265587986 |       NULL |
| BX PUP                | 2    | 2456968.21163 | 1265592023 |       NULL |
| BX PUP                | 2    | 2456969.21192 | 1265617896 |       NULL |
| BX PUP                | 2    | 2456971.21314 | 1265617888 |       NULL |
| BX PUP                | 2    | 2456972.22419 | 1265617880 |       NULL |
| BX PUP                | 2    | 2456978.21675 | 1265659414 |       NULL |
| BX PUP                | 2    | 2456979.21176 | 1265659410 |       NULL |
| BX PUP                | 2    | 2456980.21264 | 1265669068 |       NULL |
| BX PUP                | 2    | 2456981.21127 | 1265669064 |       NULL |
| BX PUP                | 2    | 2456983.21169 | 1265693405 |       NULL |
| BX PUP                | 2    | 2456984.21191 | 1265693401 |       NULL |
| BX PUP                | 2    | 2456987.20969 | 1265693386 |       NULL |
| BX PUP                | 2    | 2456988.20400 | 1267046256 |       NULL |
| BX PUP                | 2    | 2457007.00745 | 1267340532 |       NULL |
| BX PUP                | 2    | 2457008.00664 | 1267340531 |       NULL |
| BX PUP                | 2    | 2457010.00635 | 1267340530 |       NULL |
| BX PUP                | 2    | 2457012.00646 | 1267340528 |       NULL |
| BX PUP                | 2    | 2457016.00748 | 1267340527 |       NULL |
| BX PUP                | 2    | 2457021.00622 | 1267358823 |       NULL |
| BX PUP                | 2    | 2457022.00720 | 1267358817 |       NULL |
| BX PUP                | 2    | 2457026.00610 | 1267358812 |       NULL |
| BX PUP                | 2    | 2457085.95135 | 1267374976 |       NULL |
| BX PUP                | 2    | 2457086.96587 | 1267374972 |       NULL |
| BX PUP                | 2    | 2457087.96420 | 1267374964 |       NULL |
| BX PUP                | 2    | 2457088.96204 | 1267400327 |       NULL |
| BX PUP                | 2    | 2457089.96189 | 1267400325 |       NULL |
| BX PUP                | 2    | 2457090.96215 | 1267405914 |       NULL |
| BX PUP                | 2    | 2457092.96209 | 1267405910 |       NULL |
| BX PUP                | 2    | 2457095.96228 | 1267411308 |       NULL |
| BX PUP                | 2    | 2457096.96235 | 1267416235 |       NULL |
| BX PUP                | 2    | 2457097.96154 | 1267442454 |       NULL |
| BX PUP                | 2    | 2457099.96238 | 1267442450 |       NULL |
| BX PUP                | 2    | 2457100.96258 | 1267461037 |       NULL |
| BX PUP                | 2    | 2457101.96176 | 1267461033 |       NULL |
| BX PUP                | 2    | 2457103.96213 | 1267461031 |       NULL |
| BX PUP                | 2    | 2457104.96338 | 1267465989 |       NULL |
| BX PUP                | 2    | 2457106.96162 | 1267465983 |       NULL |
| BX PUP                | 2    | 2457107.96328 | 1267465977 |       NULL |
| BX PUP                | 2    | 2457109.96244 | 1267465971 |       NULL |
| BX PUP                | 2    | 2457111.96293 | 1267482737 |       NULL |
| BX PUP                | 2    | 2457112.96218 | 1267482736 |       NULL |
| BX PUP                | 2    | 2457113.96212 | 1267488381 |       NULL |
| BX PUP                | 2    | 2457117.96155 | 1267510634 |       NULL |
| BX PUP                | 2    | 2457119.96194 | 1267523968 |       NULL |
| BX PUP                | 2    | 2457121.96181 | 1267543381 |       NULL |
| BX PUP                | 2    | 2457125.96191 | 1267595128 |       NULL |
| BX PUP                | 2    | 2457128.96209 | 1267595127 |       NULL |
| BX PUP                | 2    | 2457129.96221 | 1267595126 |       NULL |
| BX PUP                | 2    | 2457139.96170 | 1267656614 |       NULL |
| BX PUP                | 2    | 2457140.96251 | 1267656609 |       NULL |
| BX PUP                | 2    | 2457141.96218 | 1267656597 |       NULL |
| BX PUP                | 2    | 2457147.87221 | 1267686537 |       NULL |
| BX PUP                | 2    | 2457148.87259 | 1267686535 |       NULL |
| BX PUP                | 2    | 2457149.87256 | 1267686916 |       NULL |
| BX PUP                | 2    | 2457150.86852 | 1267700588 |       NULL |
| BX PUP                | 2    | 2457151.86568 | 1267710960 |       NULL |
| BX PUP                | 2    | 2457152.86523 | 1267710949 |       NULL |
| BX PUP                | 2    | 2457153.87046 | 1267750130 |       NULL |
| BX PUP                | 2    | 2457155.86613 | 1267750120 |       NULL |
| BX PUP                | 2    | 2457156.86527 | 1267750116 |       NULL |
| BX PUP                | 2    | 2457159.86551 | 1267750114 |       NULL |
| BX PUP                | 2    | 2457160.86564 | 1267750112 |       NULL |
| BX PUP                | 2    | 2457166.87729 | 1267771575 |       NULL |
| BX PUP                | 2    | 2457175.85163 | 1268000268 |       NULL |
| BX PUP                | 2    | 2457176.85171 | 1268000255 |       NULL |
| BX PUP                | 2    | 2457177.85153 | 1268101618 |       NULL |
| BX PUP                | 2    | 2457182.87958 | 1268104319 |       NULL |
| BX PUP                | 2    | 2457183.89980 | 1268104316 |       NULL |
| BX PUP                | 2    | 2457185.89949 | 1268104307 |       NULL |
| CH CYG                | 2    | 2457550.93440 | 1270665332 |       NULL |
| CH CYG                | 2    | 2457554.87847 | 1270697151 |       NULL |
| CH CYG                | 2    | 2457557.87869 | 1270697146 |       NULL |
| CH CYG                | 2    | 2457561.87899 | 1270708445 |       NULL |
| CH CYG                | 2    | 2457569.87809 | 1270756084 |       NULL |
| CH CYG                | 2    | 2457570.87883 | 1270778922 |       NULL |
| CH CYG                | 2    | 2457572.87926 | 1270778915 |       NULL |
| CH CYG                | 2    | 2457573.87957 | 1270778908 |       NULL |
| CH CYG                | 2    | 2457575.87854 | 1270812516 |       NULL |
| CH CYG                | 2    | 2457579.87896 | 1270824924 |       NULL |
| CH CYG                | 2    | 2457580.88249 | 1270829262 |       NULL |
| CH CYG                | 2    | 2457582.81625 | 1270896080 |       NULL |
| CH CYG                | 2    | 2457589.84728 | 1270935604 |       NULL |
| CH CYG                | 2    | 2457590.83693 | 1270935598 |       NULL |
| CH CYG                | 2    | 2457594.84286 | 1270968588 |       NULL |
| CH CYG                | 2    | 2457598.83993 | 1271014195 |       NULL |
| CH CYG                | 2    | 2457604.84041 | 1271169609 |       NULL |
| CH CYG                | 2    | 2457607.83749 | 1271169597 |       NULL |
| CH CYG                | 2    | 2457616.83767 | 1271208343 |       NULL |
